Teams,Points,AvgMarketValue,AvgAge,ForeignPlayers
Huddersfield Town,37,1.84,24.6,18
Brighton & Hove Albion,40,2.74,25.8,26
Burnley FC,54,3.23,26.8,16
AFC Bournemouth,44,3.32,25,13
Newcastle United,44,4.52,24.4,25
Watford FC,41,4.52,25.9,27
Crystal Palace,44,4.74,24.8,23
Swansea City,33,4.76,25.3,32
West Bromwich Albion,31,5.02,25.5,17
Stoke City,33,5.08,25.2,27
West Ham United,42,6.46,24.3,24
Everton FC,49,7.22,23.9,27
Leicester City,47,7.41,25.5,21
Southamton FC,36,8.53,24.9,16
Arsenal FC,63,14.09,23.8,27
Liverpool FC,75,14.14,24,21
Chelsea FC,70,14.27,23.7,32
Tottenham Hotspur,77,15.75,23.8,22
Manchester United,81,18.43,25.1,22
Manchester City,100,19.26,24.1,19
